,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
27,27,70,Medio,1,6,800000,-3954.4918,267115.3435,263160.8517,3.8484751929795302,158600,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,6.2945,116224.9253,103661.8471,131825.292,626796.9405,11924.0244
28,28,40,Medio,1,6,850000,-11468.808,33970.3661,22501.5581,0.5916367331174517,168200,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,6.84,112108.8074,109869.8425,31032.7618,289941.0393,14428.0695
29,29,45,Medio,1,6,850000,-10216.422,72708.8158,62492.3938,1.096684970015659,168200,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.7263,114366.0844,109869.8425,47783.9619,347628.7093,13116.4268
30,30,50,Medio,1,6,850000,-8964.0359,110590.6498,101626.6139,1.5899114130025576,168200,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.7263,114366.0844,109869.8425,64092.9171,403071.8847,13116.4268
31,31,55,Medio,1,6,850000,-7711.6499,148404.303,140692.6531,2.0831378559894556,168200,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.7263,114366.0844,109869.8425,80470.0532,458515.06,13116.4268
32,32,60,Medio,1,6,850000,-6459.2639,186176.903,179717.6391,2.5763642989763538,168200,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.7263,114366.0844,109869.8425,96888.2425,513958.2353,13116.4268
33,33,65,Medio,1,6,850000,-5206.8778,223939.25,218732.3722,3.0695907419632524,168200,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,6.7263,114366.0844,109869.8425,113316.6848,569401.4107,13116.4268
34,34,70,Medio,1,6,850000,-3954.4918,262195.5399,258241.0481,3.5745211619680566,168200,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,6.6755,116224.9253,109869.8425,130537.1002,626796.9405,11924.0244
35,35,40,Medio,1,6,900000,-11468.808,29050.2108,17581.4027,0.5065140033288025,177800,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,7.2304,112108.8074,116077.8379,29744.9217,289941.0393,14428.0695
36,36,45,Medio,1,6,900000,-10216.422,67786.4353,57570.0133,0.9845516141422731,177800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.1102,114366.0844,116077.8379,46498.347,347628.7093,13116.4268
37,37,50,Medio,1,6,900000,-8964.0359,105668.2694,96704.2334,1.4513996757126877,177800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.1102,114366.0844,116077.8379,62807.3022,403071.8847,13116.4268
38,38,55,Medio,1,6,900000,-7711.6499,143482.9929,135771.343,1.9182477372831013,177800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.1102,114366.0844,116077.8379,79183.368,458515.06,13116.4268
39,39,60,Medio,1,6,900000,-6459.2639,181255.5929,174796.329,2.385095798853515,177800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.1102,114366.0844,116077.8379,95601.5573,513958.2353,13116.4268
40,40,65,Medio,1,6,900000,-5206.8778,219017.9399,213811.0621,2.8519438604239293,177800,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.1102,114366.0844,116077.8379,112029.9995,569401.4107,13116.4268
41,41,70,Medio,1,6,900000,-3954.4918,257275.7363,253321.2445,3.3298699553422413,177800,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,7.0565,116224.9253,116077.8379,129248.9084,626796.9405,11924.0244
