,ID,E_Brent,D_caso,D_tal,C_Gas,C_Perfo,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,LE_year_b,lc_b,dc_b,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
44,44,50,Medio,1,6,950000,-6389.687,98787.8186,92398.1317,1.3109391578589427,187400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.4941,114366.0844,122285.8333,61521.6872,403071.8847,12500.1481
45,45,55,Medio,1,6,950000,-5137.3009,136603.6124,131466.3115,1.754087100313275,187400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.4941,114366.0844,122285.8333,77896.6827,458515.06,12500.1481
46,46,60,Medio,1,6,950000,-3884.9149,174376.2124,170491.2975,2.1972350427676077,187400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.4941,114366.0844,122285.8333,94314.872,513958.2353,12500.1481
47,47,65,Medio,1,6,950000,-2632.5288,212138.5595,209506.0306,2.640382985221941,187400,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.4941,114366.0844,122285.8333,110743.3143,569401.4107,12500.1481
48,48,70,Medio,1,6,950000,-1380.1428,250341.8371,248961.6943,3.0935884209326123,187400,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,7.4375,116224.9253,122285.8333,127960.7165,626796.9405,11363.771
49,49,40,Medio,1,6,1000000,-8894.459,17313.4577,8418.9986,0.34618503010118934,197000,850236.7315,904996.7461,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.4419,8.0112,112108.8074,128493.8286,27169.2416,289941.0393,13750.163
50,50,45,Medio,1,6,1000000,-7642.073,55983.6041,48341.5311,0.7775516458181276,197000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.878,114366.0844,128493.8286,43927.1171,347628.7093,12500.1481
51,51,50,Medio,1,6,1000000,-6389.687,93865.4382,87475.7512,1.1992895424589867,197000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.878,114366.0844,128493.8286,60236.0723,403071.8847,12500.1481
52,52,55,Medio,1,6,1000000,-5137.3009,131682.3023,126545.0014,1.621027439099845,197000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.878,114366.0844,128493.8286,76609.9975,458515.06,12500.1481
53,53,60,Medio,1,6,1000000,-3884.9149,169454.9023,165569.9874,2.042765335740704,197000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.878,114366.0844,128493.8286,93028.1868,513958.2353,12500.1481
54,54,65,Medio,1,6,1000000,-2632.5288,207217.2493,204584.7205,2.4645032323815634,197000,850236.7315,904996.7461,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.697,7.878,114366.0844,128493.8286,109456.629,569401.4107,12500.1481
55,55,70,Medio,1,6,1000000,-1380.1428,245422.0335,244041.8907,2.8958127091767074,197000,850236.7315,904996.7461,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,8.9869,7.8185,116224.9253,128493.8286,126672.5247,626796.9405,11363.771
56,56,40,Medio,1,7,650000,-8979.834,50842.9354,41863.1013,1.0186792086208247,129800,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,5.2784,113506.4069,85037.8609,35783.5072,289941.0393,13750.163
57,57,45,Medio,1,7,650000,-7727.448,89521.3304,81793.8824,1.6702931174741593,129800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.1907,115779.7621,85037.8609,52517.0557,347628.7093,12500.1481
58,58,50,Medio,1,7,650000,-6475.0619,127403.1645,120928.1025,2.307546925077472,129800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.1907,115779.7621,85037.8609,68826.0109,403071.8847,12500.1481
59,59,55,Medio,1,7,650000,-5222.6759,165216.9163,159994.2404,2.944800732680785,129800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.1907,115779.7621,85037.8609,85203.0484,458515.06,12500.1481
60,60,60,Medio,1,7,650000,-3970.2899,202989.5163,199019.2264,3.582054540284099,129800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.1907,115779.7621,85037.8609,101621.2377,513958.2353,12500.1481
61,61,65,Medio,1,7,650000,-2717.9038,240756.3085,238038.4047,4.219308347887411,129800,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.1907,115779.7621,85037.8609,118045.2348,569401.4107,12500.1481
62,62,70,Medio,1,7,650000,-1465.5178,278951.1785,277485.6607,4.8709756980090235,129800,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,5.1515,117642.7949,85037.8609,135266.8529,626796.9405,11363.771
63,63,40,Medio,1,7,700000,-8979.834,45922.78,36942.946,0.8813366849339592,139400,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,5.6688,113506.4069,91245.8563,34495.6671,289941.0393,13750.163
64,64,45,Medio,1,7,700000,-7727.448,84598.9499,76871.502,1.4886174816929387,139400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.5746,115779.7621,91245.8563,51231.4408,347628.7093,12500.1481
65,65,50,Medio,1,7,700000,-6475.0619,122480.784,116005.7221,2.0825151790272933,139400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.5746,115779.7621,91245.8563,67540.396,403071.8847,12500.1481
66,66,55,Medio,1,7,700000,-5222.6759,160295.6062,155072.9303,2.6764128763616486,139400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.5746,115779.7621,91245.8563,83916.3631,458515.06,12500.1481
67,67,60,Medio,1,7,700000,-3970.2899,198068.2062,194097.9163,3.2703105736960034,139400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.5746,115779.7621,91245.8563,100334.5524,513958.2353,12500.1481
68,68,65,Medio,1,7,700000,-2717.9038,235834.9983,233117.0945,3.864208271030357,139400,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.5746,115779.7621,91245.8563,116758.5496,569401.4107,12500.1481
69,69,70,Medio,1,7,700000,-1465.5178,274031.3749,272565.8572,4.4715388731350165,139400,850639.571,908075.7393,0.2627027120490787,22.644197797419718,22.381495085370638,2038.0,9.1083,5.5325,117642.7949,91245.8563,133978.6611,626796.9405,11363.771
70,70,40,Medio,1,7,750000,-8979.834,41002.6247,32022.7907,0.7614921066787445,149000,850639.571,908075.7393,0.2627027120490787,22.104040284827263,21.841337572778187,2036.0,8.5626,6.0592,113506.4069,97453.8517,33207.8271,289941.0393,13750.163
71,71,45,Medio,1,7,750000,-7727.448,79676.5695,71949.1215,1.3300879937749117,149000,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.9585,115779.7621,97453.8517,49945.8259,347628.7093,12500.1481
72,72,50,Medio,1,7,750000,-6475.0619,117558.4036,111083.3416,1.8861533096261902,149000,850639.571,908075.7393,0.2627027120490787,22.477225639377856,22.214522927328776,2037.0,8.8185,5.9585,115779.7621,97453.8517,66254.7811,403071.8847,12500.1481
